Year,Player,School,Pos,Round,Pick,draft_pick_value,w_av,expected_w_av_from_pick,over_expected_w_av,beat_pick_expectation,college_match_score,college_match_reason,height_inches,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,combine_missing_40yd,combine_missing_vertical,combine_missing_broad_jump,combine_missing_bench,combine_missing_3cone,combine_missing_shuttle,cfbd_seasons_played,cfbd_final_conference,cfbd_team_talent,cfbd_career_receiving_rec,cfbd_career_receiving_yds,cfbd_career_receiving_td,cfbd_career_receiving_ypr,cfbd_career_receiving_yds_per_season,cfbd_final_receiving_rec,cfbd_final_receiving_yds,cfbd_final_receiving_td,cfbd_final_receiving_ypr,cfbd_final_yards_per_reception
2011,Greg Little,North Carolina,WR,2.0,59.0,0.13018891098082389,12.0,21.65594011359218,-9.65594011359218,0,11.5,"exact_name,school,position,season_window",74.0,231.0,4.51,40.5,27.0,129.0,6.8,4.21,0,0,0,0,0,0,3.0,ACC,,86.0,969.0,6.0,32.6,323.0,62.0,724.0,5.0,11.7,11.67741935483871
2011,Denarius Moore,Tennessee,WR,5.0,148.0,0.08219949365267865,15.0,10.969891341700745,4.030108658299255,1,12.5,"exact_name,school,position,final_season",72.0,194.0,4.43,36.0,13.0,118.0,6.78,4.15,0,0,0,0,0,0,4.0,SEC,,112.0,2004.0,18.0,74.1,501.0,47.0,981.0,9.0,20.9,20.872340425531913
2011,Niles Paul,Nebraska,WR,5.0,155.0,0.08032193289024989,7.0,10.432926884470199,-3.4329268844701986,0,12.5,"exact_name,school,position,final_season",73.0,224.0,4.45,34.5,24.0,117.0,6.9,4.14,0,0,0,0,0,0,4.0,Big 12,,103.0,1532.0,5.0,48.4,383.0,39.0,516.0,1.0,13.2,13.23076923076923
2011,Austin Pettis,Boise State,WR,3.0,78.0,0.11322770341445956,8.0,18.412142506774813,-10.412142506774813,0,12.5,"exact_name,school,position,final_season",75.0,209.0,4.56,33.5,14.0,120.0,6.68,3.88,0,0,0,0,0,0,4.0,Western Athletic,,229.0,2838.0,39.0,48.7,709.5,71.0,951.0,10.0,13.4,13.394366197183098
2011,Kealoha Pilares,Hawaii,WR,5.0,132.0,0.08703882797784893,1.0,12.299268370408647,-11.299268370408647,0,12.5,"exact_name,school,position,final_season",70.0,199.0,4.42,,19.0,,,,0,1,1,0,1,1,4.0,Western Athletic,,209.0,2491.0,22.0,43.4,622.75,88.0,1306.0,15.0,14.8,14.840909090909092
2011,Aldrick Robinson,SMU,WR,6.0,178.0,0.07495316889958614,12.0,8.825288054937054,3.1747119450629455,1,12.5,"exact_name,school,position,final_season",70.0,184.0,4.35,40.0,17.0,126.0,6.65,4.09,0,0,0,0,0,0,4.0,Conference USA,,181.0,3314.0,30.0,71.3,828.5,65.0,1301.0,14.0,20.0,20.015384615384615
2011,Greg Salas,Hawaii,WR,4.0,112.0,0.0944911182523068,4.0,14.20836750247851,-10.20836750247851,0,12.5,"exact_name,school,position,final_season",73.0,210.0,4.53,37.0,15.0,120.0,6.65,4.1,0,0,0,0,0,0,4.0,Western Athletic,,285.0,4345.0,26.0,57.2,1086.25,119.0,1889.0,14.0,15.9,15.873949579831933
2011,DeMarco Sampson,San Diego State,WR,7.0,249.0,0.06337242505244779,0.0,4.925019299096633,-4.925019299096633,0,12.5,"exact_name,school,position,final_season",74.0,204.0,4.41,,14.0,,,,0,1,1,0,1,1,3.0,Mountain West,,140.0,2182.0,17.0,42.0,727.3333333333334,67.0,1220.0,8.0,18.2,18.208955223880597
2011,Torrey Smith,Maryland,WR,2.0,58.0,0.13130643285972254,37.0,21.854566783230908,15.145433216769092,1,12.5,"exact_name,school,position,final_season",73.0,204.0,4.41,41.0,19.0,126.0,6.72,4.13,0,0,0,0,0,0,3.0,ACC,,152.0,2215.0,19.0,43.2,738.3333333333334,67.0,1055.0,12.0,15.7,15.746268656716419
2011,Ryan Whalen,Stanford,WR,6.0,167.0,0.07738232325341368,0.0,9.566485082354781,-9.566485082354781,0,12.5,"exact_name,school,position,final_season",73.0,202.0,4.53,38.5,18.0,123.0,6.67,4.09,0,0,0,0,0,0,4.0,Pac-10,,140.0,1884.0,7.0,50.3,471.0,41.0,439.0,2.0,10.7,10.707317073170731
2011,Titus Young,Boise State,WR,2.0,44.0,0.15075567228888181,8.0,25.064458975781967,-17.064458975781967,0,12.5,"exact_name,school,position,final_season",71.0,174.0,4.43,,,123.0,,,0,1,0,1,1,1,4.0,Western Athletic,,204.0,3063.0,25.0,61.6,765.75,71.0,1215.0,9.0,17.1,17.112676056338028
2012,Joe Adams,Arkansas,WR,4.0,104.0,0.09805806756909202,0.0,15.06945598626639,-15.06945598626639,0,12.5,"exact_name,school,position,final_season",71.0,179.0,4.51,36.0,,123.0,7.09,,0,0,0,1,0,1,4.0,SEC,,164.0,2410.0,17.0,60.2,602.5,54.0,652.0,3.0,12.1,12.074074074074074
2012,Travis Benjamin,Miami (FL),WR,4.0,100.0,0.1,25.0,15.525176247403529,9.474823752596471,1,9.5,"exact_name,position,final_season",70.0,172.0,4.31,38.0,14.0,119.0,,,0,0,0,0,1,1,4.0,ACC,,131.0,2146.0,13.0,65.8,536.5,41.0,609.0,3.0,14.9,14.853658536585366
2012,Justin Blackmon,Oklahoma State,WR,1.0,5.0,0.4472135954999579,9.0,50.33371959707445,-41.33371959707445,0,12.5,"exact_name,school,position,final_season",73.0,207.0,4.46,,14.0,,,,0,1,1,0,1,1,3.0,Big 12,,252.0,3564.0,40.0,41.7,1188.0,121.0,1522.0,18.0,12.6,12.578512396694215
2012,LaVon Brazill,Ohio,WR,6.0,206.0,0.06967330142916177,3.0,7.127782810917331,-4.127782810917331,0,12.5,"exact_name,school,position,final_season",71.0,192.0,4.43,32.5,11.0,,,,0,0,1,0,1,1,5.0,Mid-American,,187.0,2515.0,18.0,59.6,503.0,72.0,1150.0,11.0,16.0,15.972222222222221
2012,Ryan Broyles,Oklahoma,WR,2.0,54.0,0.13608276348795434,3.0,22.684875441802767,-19.684875441802767,0,12.5,"exact_name,school,position,final_season",70.0,192.0,4.57,,21.0,,,,0,1,1,0,1,1,4.0,Big 12,,349.0,4586.0,45.0,53.8,1146.5,83.0,1157.0,10.0,13.9,13.939759036144578
2012,Juron Criner,Arizona,WR,5.0,168.0,0.07715167498104596,1.0,9.49711546004606,-8.49711546004606,0,12.5,"exact_name,school,position,final_season",74.0,224.0,4.66,38.0,17.0,117.0,7.15,4.3,0,0,0,0,0,0,4.0,Pac-12,,209.0,2859.0,32.0,53.2,714.75,75.0,956.0,11.0,12.7,12.746666666666666
2012,B.J. Cunningham,Michigan State,WR,6.0,183.0,0.07392212709545729,0.0,8.503401065819268,-8.503401065819268,0,12.5,"exact_name,school,position,final_season",73.0,211.0,4.52,31.5,12.0,116.0,7.1,,0,0,0,0,0,1,4.0,Big Ten,,218.0,3086.0,25.0,55.0,771.5,79.0,1306.0,12.0,16.5,16.531645569620252
2012,Michael Floyd,Notre Dame,WR,1.0,13.0,0.2773500981126146,28.0,39.231271675089005,-11.231271675089005,0,12.5,"exact_name,school,position,final_season",75.0,220.0,4.4,36.5,16.0,122.0,,,0,0,0,0,1,1,4.0,FBS Independents,,271.0,3686.0,37.0,57.6,921.5,100.0,1147.0,9.0,11.5,11.47
2012,Chris Givens,Wake Forest,WR,4.0,96.0,0.10206207261596577,12.0,15.999502400785921,-3.9995024007859215,0,12.5,"exact_name,school,position,final_season",71.0,198.0,4.35,33.5,19.0,118.0,6.97,4.23,0,0,0,0,0,0,3.0,ACC,,163.0,2473.0,21.0,44.7,824.3333333333334,83.0,1330.0,9.0,16.0,16.02409638554217
2012,Junior Hemingway,Michigan,WR,7.0,238.0,0.06482037235521644,2.0,5.4500085895671475,-3.4500085895671475,0,12.5,"exact_name,school,position,final_season",73.0,225.0,4.48,35.5,21.0,124.0,6.59,3.98,0,0,0,0,0,0,5.0,Big Ten,,87.0,1601.0,11.0,85.2,320.2,33.0,662.0,4.0,20.1,20.060606060606062
2012,Stephen Hill,Georgia Tech,WR,2.0,43.0,0.15249857033260467,4.0,25.331582860241483,-21.331582860241483,0,12.5,"exact_name,school,position,final_season",76.0,215.0,4.36,39.5,14.0,133.0,6.88,4.48,0,0,0,0,0,0,3.0,ACC,,49.0,1248.0,9.0,71.5,416.0,28.0,820.0,5.0,29.3,29.285714285714285
2012,T.Y. Hilton,Florida International,WR,3.0,92.0,0.10425720702853739,72.0,16.494018615242034,55.505981384757966,1,12.5,"exact_name,school,position,final_season",69.0,183.0,4.34,,,,,,0,1,1,1,1,1,4.0,Sun Belt,,226.0,3515.0,23.0,65.0,878.75,69.0,1022.0,6.0,14.8,14.81159420289855
2012,Alshon Jeffery,South Carolina,WR,2.0,45.0,0.14907119849998599,48.0,24.803338386327802,23.196661613672198,1,12.5,"exact_name,school,position,final_season",75.0,216.0,4.48,,,,,,0,1,1,1,1,1,3.0,SEC,,183.0,3042.0,23.0,49.4,1014.0,49.0,762.0,8.0,15.6,15.551020408163266
2012,A.J. Jenkins,Illinois,WR,1.0,30.0,0.18257418583505536,2.0,29.51459042876025,-27.51459042876025,0,12.5,"exact_name,school,position,final_season",72.0,190.0,4.37,38.5,12.0,124.0,,,0,0,0,0,1,1,4.0,Big Ten,,167.0,2432.0,19.0,65.9,608.0,90.0,1276.0,8.0,14.2,14.177777777777777
2012,Keshawn Martin,Michigan State,WR,4.0,121.0,0.09090909090909091,7.0,13.310286382463815,-6.310286382463815,0,12.5,"exact_name,school,position,final_season",71.0,188.0,4.42,39.5,13.0,122.0,6.85,4.13,0,0,0,0,0,0,4.0,Big Ten,,127.0,1714.0,10.0,58.900000000000006,428.5,66.0,777.0,4.0,11.8,11.772727272727273
2012,Rishard Matthews,Nevada,WR,7.0,227.0,0.0663723311599972,22.0,5.9998451443447465,16.000154855655254,1,12.5,"exact_name,school,position,final_season",72.0,217.0,4.54,36.0,20.0,,6.88,4.19,0,0,1,0,0,0,2.0,Western Athletic,,147.0,2243.0,13.0,30.7,1121.5,91.0,1364.0,8.0,15.0,14.989010989010989
2012,Marvin McNutt,Iowa,WR,6.0,194.0,0.07179581586177382,0.0,7.82515470618312,-7.82515470618312,0,12.5,"exact_name,school,position,final_season",75.0,216.0,4.48,37.0,,122.0,7.15,4.07,0,0,0,1,0,0,4.0,Big Ten,,170.0,2861.0,28.0,63.0,715.25,82.0,1315.0,12.0,16.0,16.036585365853657
2012,DeVier Posey,Ohio State,WR,3.0,68.0,0.12126781251816648,2.0,20.00633409324788,-18.00633409324788,0,12.5,"exact_name,school,position,final_season",74.0,211.0,4.39,36.5,14.0,123.0,7.03,4.15,0,0,0,0,0,0,4.0,Big Ten,,136.0,1955.0,18.0,53.9,488.75,12.0,162.0,2.0,13.5,13.5
2012,Rueben Randle,LSU,WR,2.0,63.0,0.1259881576697424,21.0,20.893740543495355,0.1062594565046453,1,12.5,"exact_name,school,position,final_season",75.0,210.0,4.55,31.0,15.0,121.0,6.99,4.36,0,0,0,0,0,0,3.0,SEC,,97.0,1634.0,13.0,49.5,544.6666666666666,53.0,917.0,8.0,17.3,17.30188679245283
2012,Mohamed Sanu,Rutgers,WR,3.0,83.0,0.10976425998969035,41.0,17.690209904469953,23.309790095530047,1,12.5,"exact_name,school,position,final_season",73.0,211.0,4.62,36.0,19.0,126.0,6.88,4.22,0,0,0,0,0,0,3.0,Big East,,210.0,2263.0,12.0,32.5,754.3333333333334,115.0,1206.0,7.0,10.5,10.486956521739131
2012,Tommy Streeter,Miami (FL),WR,6.0,198.0,0.07106690545187015,0.0,7.588016327976199,-7.588016327976199,0,9.5,"exact_name,position,final_season",77.0,219.0,4.37,33.0,17.0,125.0,7.08,,0,0,0,0,0,1,3.0,ACC,,52.0,967.0,9.0,82.4,322.3333333333333,46.0,811.0,8.0,17.6,17.630434782608695
2012,Nick Toon,Wisconsin,WR,4.0,122.0,0.09053574604251853,3.0,13.214653108251717,-10.214653108251717,0,12.5,"exact_name,school,position,final_season",74.0,215.0,4.49,37.5,18.0,,,,0,0,1,0,1,1,4.0,Big Ten,,171.0,2447.0,18.0,57.3,611.75,64.0,926.0,10.0,14.5,14.46875
2012,Jordan White,West. Michigan,WR,7.0,244.0,0.06401843996644799,0.0,5.160714545310846,-5.160714545310846,0,12.5,"exact_name,school,position,final_season",72.0,208.0,4.63,35.0,14.0,119.0,6.84,4.13,0,0,0,0,0,0,4.0,Mid-American,,294.0,4068.0,32.0,52.9,1017.0,128.0,1792.0,17.0,14.0,14.0
2012,Jarius Wright,Arkansas,WR,4.0,118.0,0.09205746178983235,24.0,13.602001550651302,10.397998449348698,1,12.5,"exact_name,school,position,final_season",70.0,182.0,4.39,38.0,11.0,120.0,6.93,4.03,0,0,0,0,0,0,4.0,SEC,,168.0,2934.0,24.0,70.6,733.5,66.0,1117.0,12.0,16.9,16.924242424242426
2012,Kendall Wright,Baylor,WR,1.0,20.0,0.22360679774997896,28.0,34.2258424711927,-6.225842471192699,0,12.5,"exact_name,school,position,final_season",70.0,196.0,4.49,38.5,,121.0,6.93,4.18,0,0,0,1,0,0,4.0,Big 12,,302.0,4004.0,30.0,51.8,1001.0,108.0,1663.0,14.0,15.4,15.398148148148149
2012,Devon Wylie,Fresno State,WR,4.0,107.0,0.09667364890456635,0.0,14.739024888294615,-14.739024888294615,0,12.5,"exact_name,school,position,final_season",69.0,187.0,4.36,39.0,17.0,123.0,,,0,0,0,0,1,1,5.0,Western Athletic,,98.0,1327.0,8.0,103.7,265.4,56.0,716.0,1.0,12.8,12.785714285714286
2013,Keenan Allen,California,WR,3.0,76.0,0.11470786693528087,80.0,18.713961481881036,61.286038518118964,1,12.5,"exact_name,school,position,final_season",74.0,206.0,4.58,,,,,,0,1,1,1,1,1,3.0,Pac-12,,205.0,2570.0,17.0,36.5,856.6666666666666,61.0,737.0,6.0,12.1,12.081967213114755
2013,Tavon Austin,West Virginia,WR,1.0,8.0,0.35355339059327373,26.0,44.87257013204099,-18.87257013204099,0,12.5,"exact_name,school,position,final_season",68.0,174.0,4.34,32.0,14.0,120.0,,4.01,0,0,0,0,1,0,4.0,Big 12,,288.0,3413.0,29.0,46.7,853.25,114.0,1289.0,12.0,11.3,11.307017543859649
2013,Stedman Bailey,West Virginia,WR,3.0,92.0,0.10425720702853739,7.0,16.494018615242034,-9.494018615242034,0,12.5,"exact_name,school,position,final_season",70.0,193.0,4.52,34.5,11.0,117.0,6.81,4.09,0,0,0,0,0,0,3.0,Big 12,,210.0,3218.0,41.0,45.2,1072.6666666666667,114.0,1622.0,25.0,14.2,14.228070175438596
2013,Josh Boyce,TCU,WR,4.0,102.0,0.09901475429766744,1.0,15.295082050815438,-14.295082050815438,0,12.5,"exact_name,school,position,final_season",71.0,206.0,4.38,34.0,22.0,131.0,6.68,4.1,0,0,0,0,0,0,3.0,Big 12,,161.0,2535.0,22.0,48.9,845.0,66.0,891.0,7.0,13.5,13.5
2013,Aaron Dobson,Marshall,WR,2.0,59.0,0.13018891098082389,6.0,21.65594011359218,-15.65594011359218,0,12.5,"exact_name,school,position,final_season",75.0,210.0,4.37,,,,,,0,1,1,1,1,1,4.0,Conference USA,,165.0,2398.0,24.0,65.3,599.5,57.0,679.0,3.0,11.9,11.912280701754385
2013,Marquise Goodwin,Texas,WR,3.0,78.0,0.11322770341445956,24.0,18.412142506774813,5.5878574932251865,1,12.5,"exact_name,school,position,final_season",69.0,183.0,4.27,,13.0,132.0,,,0,1,0,0,1,1,4.0,Big 12,,120.0,1364.0,7.0,45.7,341.0,26.0,340.0,3.0,13.1,13.076923076923077
